Date,Close/Last,Volume,Open,High,Low
08/18/2021,$146.74,5190073,$144.02,$148.68,$141.7
08/17/2021,$143.9,7855110,$145,$148.2,$143.58
08/16/2021,$148.57,7720442,$151.99,$152.03,$144.9
08/13/2021,$152.76,16789080,$146.66,$152.76,$144.51
08/12/2021,$151.15,8925109,$148.86,$151.68,$146.55
08/11/2021,$148.16,6717728,$147.54,$149.2796,$145.1576
08/10/2021,$147.95,5149830,$149.365,$150.76,$147.85
08/09/2021,$149.44,5541924,$148.74,$151,$148.7
08/06/2021,$149.99,4043474,$148.99,$150.19,$147.55
08/05/2021,$150.32,4737513,$146.67,$150.41,$146.3993
08/04/2021,$147.4,4631430,$145.1,$147.46,$145.01
08/03/2021,$145.65,5491010,$147.7284,$147.79,$143.2801
08/02/2021,$145.49,4522437,$143.85,$146.27,$143.4
07/30/2021,$144.01,4167130,$141.75,$144.69,$141.74
07/29/2021,$143.47,5005450,$143.646,$145,$141.71
07/28/2021,$143.3,4466785,$141.31,$143.73,$141.03
07/27/2021,$141.58,5113147,$141.255,$142.52,$138.31
07/26/2021,$142,6489516,$139.13,$142.19,$137.2
07/23/2021,$138.73,2811110,$139.8,$140,$137.41
07/22/2021,$139.47,4628360,$141.2898,$141.2898,$137.66
07/21/2021,$139.25,5269631,$136.71,$140.15,$135.725
07/20/2021,$136.09,6274608,$132.75,$137.435,$131.7
07/19/2021,$131.88,7215671,$131.36,$133.77,$130.31
07/16/2021,$134.31,6094631,$139.69,$139.7899,$133.51
07/15/2021,$137.5,6576068,$139.18,$140.52,$136.54
07/14/2021,$139.09,8545476,$143.86,$144.2,$139.04
07/13/2021,$143.41,5871457,$147.695,$147.695,$143
07/12/2021,$146.69,3276273,$148.99,$150.42,$146.01
07/09/2021,$149.64,7065139,$143.3,$150.26,$143.3
07/08/2021,$142.53,4827157,$140.43,$143.73,$139.53
07/07/2021,$143.72,5650921,$148.15,$148.94,$143.6
07/06/2021,$148.37,5069422,$150.08,$152.8,$147.8101
07/02/2021,$150.23,4844712,$153.31,$154.95,$149.56
07/01/2021,$153.08,9793859,$154.5,$157.41,$151.41
06/30/2021,$153.14,9798633,$145.545,$154.09,$144.245
06/29/2021,$146.08,7478999,$149.75,$149.94,$145.77
06/28/2021,$149.94,6450955,$148.615,$150.93,$147.08
06/25/2021,$149.67,6452449,$151.23,$153.17,$149.28
06/24/2021,$150.73,8173384,$152.67,$153.6272,$149.86
06/23/2021,$151.58,9335718,$149.76,$154.59,$147.8
06/22/2021,$149.68,5790390,$149.75,$151.6468,$148.4
06/21/2021,$149.7,8040208,$152.52,$152.61,$145.83
06/18/2021,$152.52,11628920,$150.38,$154.8,$149.4
06/17/2021,$150.7,8171295,$148.99,$152.29,$148.6116
06/16/2021,$149.15,9632778,$150.95,$152.35,$146.92
06/15/2021,$151.78,12007680,$149.2,$153.74,$148.84
06/14/2021,$149.21,6107480,$149.25,$149.6,$146.85
06/11/2021,$148.44,4819914,$145.87,$148.95,$145.2001
06/10/2021,$146.12,9482482,$142.15,$147.45,$141.04
06/09/2021,$144.85,5606457,$148.57,$149.36,$144.46
06/08/2021,$147.01,7125810,$150.6,$150.75,$145.8
06/07/2021,$148.97,7780222,$150.96,$150.96,$146.4
06/04/2021,$150.73,8534867,$145.83,$151.57,$145
06/03/2021,$144.19,11083340,$149.55,$151.12,$143.8
06/02/2021,$151,16245120,$145.35,$152.7,$144.4
06/01/2021,$144.31,16552090,$143.89,$146.0889,$141.59
05/28/2021,$140.4,12000560,$144.76,$145,$140.25
05/27/2021,$143.17,21270190,$135.07,$143.82,$134.5
05/26/2021,$134.75,8179216,$134.94,$135.76,$133.7208
05/25/2021,$133.99,10435840,$137.4,$137.85,$133.56
05/24/2021,$135.91,8543614,$135.5,$137.98,$134.39
05/21/2021,$134.71,10056480,$136.55,$137.17,$132.88
05/20/2021,$136.2,8903573,$138.839,$138.89,$135.65
05/19/2021,$138.19,15565540,$129.95,$138.38,$129.71
05/18/2021,$135.02,18555650,$134,$138.4,$131.49
05/17/2021,$132.5,39715020,$137.1562,$137.79,$130.2532
05/14/2021,$141.2,20325380,$137.68,$142.25,$131.67
05/13/2021,$135.75,13005370,$142.25,$142.3286,$131.28
05/12/2021,$140.25,5307514,$140.9,$144.77,$138.75
05/11/2021,$142.73,8257386,$139.1,$144.35,$136.01
05/10/2021,$146.73,5827152,$150.284,$150.5,$144.52
05/07/2021,$151.21,7133990,$156.5,$157.0543,$148.78
05/06/2021,$153.64,8528976,$161.91,$162.105,$150.7
05/05/2021,$162.33,3590067,$169.3,$170.18,$162.12
05/04/2021,$168.9,4658011,$167.015,$169.04,$161.96
05/03/2021,$168.11,3149738,$173.19,$173.44,$167.8
04/30/2021,$172.71,3579957,$173.004,$176.45,$172.01
04/29/2021,$177.68,3116021,$182.75,$183.22,$173.35
04/28/2021,$180,2409708,$174.437,$181.67,$173.351
04/27/2021,$177.94,2882972,$176.165,$179.61,$174.8
04/26/2021,$174.88,2549403,$175.21,$176.0305,$171.07
04/23/2021,$174.25,3335128,$172.919,$178.25,$172
04/22/2021,$170.71,3856499,$168.49,$176.92,$168.43
04/21/2021,$167.07,3878608,$168.09,$170.32,$164.12
04/20/2021,$169.57,4574999,$173.184,$175,$165.52
04/19/2021,$174.58,3125736,$177.32,$178.72,$171.5
04/16/2021,$178.69,3058294,$176.012,$179.51,$172.94
04/15/2021,$175.35,2894865,$177,$178.24,$174.25
04/14/2021,$176.43,2938566,$179.5,$181.4665,$175.31
04/13/2021,$177.95,3573584,$175.265,$178.61,$172.14
04/12/2021,$176.49,2619833,$179.68,$181.49,$176.25
04/09/2021,$179.5,2910167,$179.62,$182.46,$177.25
04/08/2021,$180.18,2625274,$181.648,$183.9,$179.3
04/07/2021,$179.94,6663462,$189.38,$190.62,$179.47
04/06/2021,$190.03,3565634,$188.7,$194.48,$187.52
04/05/2021,$186.69,2591425,$191.66,$192.1,$185.81
04/01/2021,$188.24,2921447,$192.5,$193.99,$185.37
03/31/2021,$187.94,3079510,$185.43,$192.275,$185.1301
03/30/2021,$183.1,2903262,$182.35,$185.23,$178.38
03/29/2021,$182.5,4508821,$175.36,$185.46,$173.5
03/26/2021,$174.4,3562912,$178.416,$181,$168
03/25/2021,$176.16,5264100,$173.1,$179.54,$170.5
03/24/2021,$178.85,3756097,$189,$189.78,$178.51
03/23/2021,$187.14,3460590,$195.5,$196.7496,$185.7401
03/22/2021,$195,3740448,$196.85,$203.3,$194.71
03/19/2021,$194.39,4444583,$193.01,$196.49,$187.81
03/18/2021,$191.45,3729507,$196.8,$199.8999,$190.68
03/17/2021,$201.36,3781866,$195.63,$203.46,$194.44
03/16/2021,$200.01,4605572,$209.11,$215.49,$198.18
