Date,Close/Last,Volume,Open,High,Low
07/01/2021,$142.1274,2686289,$142.2436,$142.7663,$141.8661
06/30/2021,$141.8855,3245091,$140.4723,$142.2146,$140.0658
06/29/2021,$140.8788,2428626,$140.5982,$142.0307,$140.4433
06/28/2021,$140.6272,3888869,$142.292,$142.5727,$140.2614
06/25/2021,$142.1274,3594218,$140.7143,$142.2146,$140.2933
06/24/2021,$140.7724,3609679,$141.1208,$141.4983,$140.0464
06/23/2021,$139.969,3202644,$141.7306,$141.7984,$139.9303
06/22/2021,$141.6629,2437121,$141.8177,$142.0984,$140.6853
06/21/2021,$141.9435,4285711,$139.4851,$142.3501,$139.4367
06/18/2021,$138.5268,9156505,$139.8432,$140.0368,$138.4494
06/17/2021,$140.9272,4367387,$142.8147,$143.3083,$140.6175
06/16/2021,$143.0857,3879185,$144.9537,$144.9537,$142.4953
06/15/2021,$144.5666,2513281,$145.0408,$145.0989,$143.831
06/14/2021,$145.2151,3344845,$145.8732,$146.183,$143.8842
06/11/2021,$146.425,3438255,$145.6022,$146.9718,$145.5442
06/10/2021,$145.7087,4758488,$146.6089,$147.9349,$144.9537
06/09/2021,$145.8345,5303252,$144.2472,$146.2217,$144.0439
06/08/2021,$144.2859,5080099,$143.3664,$145.3796,$143.3664
06/07/2021,$143.2696,3462712,$142.8147,$143.9665,$142.4469
06/04/2021,$142.6888,3117905,$141.3144,$142.8147,$141.0821
06/03/2021,$140.8788,4130741,$140.2594,$141.1983,$139.4173
06/02/2021,$141.0434,2786916,$139.9787,$141.0724,$139.4851
06/01/2021,$139.5625,2417455,$140.3465,$141.1499,$139.1366
05/28/2021,$139.1269,2534811,$139.5819,$139.698,$138.8801
05/27/2021,$139.2044,5630345,$139.2044,$140.1239,$139.0205
05/26/2021,$138.7785,3083789,$138.8946,$139.3683,$138.4494
05/25/2021,$139.1753,3937323,$140.2691,$140.3465,$138.6043
05/24/2021,$140.0755,3297570,$140.4046,$140.724,$139.5528
05/21/2021,$140.0948,4033482,$139.6496,$141.0231,$139.6496
05/20/2021,$139.2624,4112690,$138.5268,$140.2594,$137.5976
05/19/2021,$138.5946,4300732,$137.7525,$138.6043,$136.3974
05/18/2021,$139.2915,3824050,$140.1336,$140.6369,$138.6333
05/17/2021,$140.453,4275014,$139.8045,$141.1208,$139.698
05/14/2021,$140.0368,2747385,$140.453,$141.0144,$139.3399
05/13/2021,$139.5431,4598920,$136.9104,$140.2497,$136.7459
05/12/2021,$136.7652,5959579,$139.2237,$139.5238,$136.6104
05/11/2021,$139.5915,7126404,$140.3368,$140.5304,$138.3139
